PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97,PPM_144,mag_144,PPM_288,mag_288
11.4972,32210.6,11.498,5833.35,11.4809,898967,11.5029,6676.31,11.5078,174881
11.4907,30131.8,11.4915,5281.12,11.4744,869767,11.4964,6745.33,11.5013,171155
11.4842,29082.6,11.485,5272.55,11.4679,846619,11.4899,7008.6,11.4948,169113
11.4777,29200.3,11.4785,4074.59,11.4614,827707,11.4834,7686.9,11.4883,166333
11.4712,28149.2,11.472,5152.06,11.4549,813159,11.4769,7589.97,11.4818,165698
11.4647,26850.1,11.4655,5111.41,11.4484,799314,11.4704,8653.58,11.4752,163660
11.4582,27607.7,11.459,5695.2,11.4419,786469,11.4639,7827.36,11.4687,162573
11.4517,24321.9,11.4525,5580.31,11.4354,773612,11.4574,7589.99,11.4622,161210
11.4452,26263.2,11.446,4995.39,11.4289,765434,11.4508,7398.91,11.4557,160177
11.4386,26244.3,11.4395,3188.8,11.4224,755390,11.4443,7039.56,11.4492,161142
11.4321,24967.9,11.433,5031.33,11.4159,747481,11.4378,5582.85,11.4427,158950
11.4256,24987.1,11.4264,4800.86,11.4094,740379,11.4313,5840.37,11.4362,156713
11.4191,24239.8,11.4199,6039,11.4029,732295,11.4248,7903.48,11.4297,156744
11.4126,26289,11.4134,3329.15,11.3964,725228,11.4183,6615.72,11.4232,155007
11.4061,23524.6,11.4069,3866.48,11.3898,719317,11.4118,7979.27,11.4167,152824
11.3996,22536.9,11.4004,4439.67,11.3833,714401,11.4053,5291.59,11.4102,153109
11.3931,22974.4,11.3939,4375.79,11.3768,708423,11.3988,6720.66,11.4037,153537
11.3866,21996.4,11.3874,5211.69,11.3703,701793,11.3923,4346.85,11.3972,150502
11.3801,22304.5,11.3809,5275.65,11.3638,698644,11.3858,4738.85,11.3907,150892
11.3736,20800.4,11.3744,3522.12,11.3573,693302,11.3793,5971.62,11.3842,149271
11.3671,22769.6,11.3679,4837.99,11.3508,686425,11.3728,6768.74,11.3776,148618
11.3606,22307.8,11.3614,4173.67,11.3443,682978,11.3663,5517.39,11.3711,148732
11.3541,22913.2,11.3549,3782.72,11.3378,679557,11.3598,7132.17,11.3646,147557
11.3476,21211,11.3484,4898.77,11.3313,676026,11.3532,5959.89,11.3581,148345
11.341,20201.3,11.3419,6164.79,11.3248,671841,11.3467,4925.78,11.3516,147478
11.3345,21171.1,11.3354,2929.86,11.3183,667572,11.3402,3137.67,11.3451,147865
11.328,21868.3,11.3288,4667.28,11.3118,663265,11.3337,5336.29,11.3386,144925
11.3215,21465.6,11.3223,4678.18,11.3053,660179,11.3272,6178.6,11.3321,145026
11.315,21048.5,11.3158,3770.65,11.2987,655526,11.3207,4871.03,11.3256,143310
11.3085,20590.4,11.3093,6096.92,11.2922,653048,11.3142,6524.93,11.3191,144172
11.302,19640.3,11.3028,4909.85,11.2857,650435,11.3077,4259.93,11.3126,143879
11.2955,20032,11.2963,4206.93,11.2792,646112,11.3012,5268.09,11.3061,142559
11.289,20557.9,11.2898,6410.3,11.2727,644412,11.2947,4057.07,11.2996,142629
11.2825,20847.3,11.2833,4061.11,11.2662,639445,11.2882,5480.17,11.2931,139547
11.276,20780,11.2768,5348.83,11.2597,638523,11.2817,5296.35,11.2865,138995
11.2695,18254.6,11.2703,3409.03,11.2532,635220,11.2752,5378.62,11.28,139967
11.263,20092.7,11.2638,4359.28,11.2467,630808,11.2687,3545.82,11.2735,138570
11.2565,19855,11.2573,4844.74,11.2402,628933,11.2621,4153.87,11.267,140169
11.2499,18962.8,11.2508,3027.92,11.2337,626309,11.2556,3577.14,11.2605,140291
11.2434,19435.9,11.2443,3898.11,11.2272,623012,11.2491,4461.14,11.254,139694
11.2369,18311.5,11.2377,4193.47,11.2207,620334,11.2426,3907.51,11.2475,137121
11.2304,19168.9,11.2312,2771.29,11.2142,618482,11.2361,2463.96,11.241,137618
11.2239,19478.4,11.2247,3620.66,11.2077,616632,11.2296,3437.31,11.2345,136939
11.2174,18096.5,11.2182,5186.58,11.2011,613402,11.2231,3620.75,11.228,136622
11.2109,18470.3,11.2117,3312.31,11.1946,610192,11.2166,4103.97,11.2215,135746
11.2044,20010.3,11.2052,4140.61,11.1881,608431,11.2101,2644.6,11.215,135833
11.1979,18228.6,11.1987,4874.33,11.1816,606645,11.2036,3860.37,11.2085,136351
11.1914,19411.9,11.1922,3724.42,11.1751,603527,11.1971,5300.84,11.202,134854
11.1849,18739.4,11.1857,4786.77,11.1686,602653,11.1906,3475.61,11.1955,135327
11.1784,18721.2,11.1792,4037.41,11.1621,598707,11.1841,3807.12,11.1889,134061
11.1719,19237.8,11.1727,3913.9,11.1556,597680,11.1776,4159.42,11.1824,132423
11.1654,18418.6,11.1662,2876.72,11.1491,594312,11.1711,4046.13,11.1759,132548
11.1589,20029.8,11.1597,5577.99,11.1426,591857,11.1645,4767.27,11.1694,133494
11.1523,16816.3,11.1532,4076.52,11.1361,590933,11.158,3807.39,11.1629,132886
11.1458,18100.3,11.1467,5188.31,11.1296,588581,11.1515,4482.54,11.1564,132980
11.1393,18048,11.1401,5189.04,11.1231,586348,11.145,5790.62,11.1499,132425
11.1328,18717.1,11.1336,5080.94,11.1166,583907,11.1385,3767.37,11.1434,130762
11.1263,19113.3,11.1271,4048.74,11.1101,584370,11.132,4744.19,11.1369,131263
11.1198,17880,11.1206,4067.48,11.1035,581027,11.1255,4802.34,11.1304,129519
11.1133,19459.9,11.1141,3692.07,11.097,580794,11.119,4449.72,11.1239,130065
11.1068,17108.3,11.1076,3734.95,11.0905,578546,11.1125,5578.05,11.1174,130742
11.1003,16900,11.1011,4038.34,11.084,575428,11.106,5542.63,11.1109,128668
11.0938,19809,11.0946,3534.98,11.0775,572578,11.0995,4007.77,11.1044,129267
11.0873,18454.1,11.0881,5024.46,11.071,570798,11.093,2680.75,11.0978,130339
11.0808,17494.2,11.0816,4118.37,11.0645,569333,11.0865,4351.65,11.0913,129554
11.0743,18163.3,11.0751,3740.62,11.058,568577,11.08,4839.76,11.0848,127990
11.0678,18071.1,11.0686,5621.88,11.0515,566394,11.0734,6033.01,11.0783,128148
11.0612,18989.8,11.0621,4337.98,11.045,564916,11.0669,4840.71,11.0718,128381
11.0547,17351.8,11.0556,4621.63,11.0385,562616,11.0604,5982.45,11.0653,127934
11.0482,18065.9,11.049,5490.71,11.032,561902,11.0539,6077.96,11.0588,125685
11.0417,17432.5,11.0425,4388.08,11.0255,560277,11.0474,6387.03,11.0523,127122
11.0352,18509.5,11.036,4079.52,11.019,557866,11.0409,4149.93,11.0458,127434
11.0287,19770.1,11.0295,6237.68,11.0124,557356,11.0344,4947.41,11.0393,126823
11.0222,17271,11.023,3645.4,11.0059,556128,11.0279,6177.47,11.0328,126363
11.0157,16437.8,11.0165,5397.88,10.9994,554193,11.0214,4308.8,11.0263,125846
11.0092,16315.4,11.01,2795.97,10.9929,553116,11.0149,4592.06,11.0198,126367
11.0027,17194.5,11.0035,3911.33,10.9864,548054,11.0084,5378.06,11.0133,124656
10.9962,16986.9,10.997,4177.87,10.9799,550560,11.0019,4826.95,11.0068,123990
10.9897,18277.3,10.9905,3243.16,10.9734,548962,10.9954,6261.07,11.0002,124148
10.9832,16722.5,10.984,3841.18,10.9669,546037,10.9889,6422.16,10.9937,124138
10.9767,15187.8,10.9775,5756.34,10.9604,545040,10.9824,4659.29,10.9872,125389
10.9702,18324.7,10.971,4590.24,10.9539,543717,10.9758,4232.37,10.9807,122842
10.9636,19285.8,10.9645,5381,10.9474,543603,10.9693,4579.52,10.9742,122572
10.9571,17730.5,10.958,4330.66,10.9409,540529,10.9628,5580.31,10.9677,122216
