PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97,PPM_144,mag_144,PPM_288,mag_288
11.4857,15012.5,11.4881,178311,11.4881,169077,11.4865,176189,11.4873,22529.1
11.4792,12660.5,11.4816,175598,11.4816,167021,11.48,169007,11.4808,21683.7
11.4727,13659.8,11.4751,173488,11.4751,163896,11.4735,161919,11.4743,21502.7
11.4662,13198.8,11.4686,171295,11.4686,161627,11.467,157778,11.4678,22754.3
11.4597,13839.8,11.4621,169214,11.4621,160222,11.4605,154305,11.4613,22213.6
11.4532,13450.8,11.4556,167489,11.4556,159394,11.454,150043,11.4548,20696.5
11.4466,12443,11.4491,165809,11.4491,156706,11.4475,145905,11.4483,20848.9
11.4401,13216.2,11.4426,164074,11.4426,155642,11.441,144182,11.4418,21395.9
11.4336,13041,11.4361,162928,11.4361,154118,11.4344,140188,11.4353,19998.9
11.4271,11028.4,11.4296,161765,11.4296,153423,11.4279,139112,11.4288,19029.9
11.4206,12319.5,11.4231,160891,11.4231,154020,11.4214,136761,11.4222,20567.6
11.4141,12199.3,11.4166,160431,11.4166,153484,11.4149,134165,11.4157,19458.5
11.4076,13500.3,11.41,160574,11.41,152019,11.4084,131528,11.4092,19080.4
11.4011,11130.2,11.4035,158902,11.4035,149742,11.4019,128166,11.4027,20056.9
11.3946,12748.3,11.397,158437,11.397,149320,11.3954,124909,11.3962,19820.3
11.3881,11910,11.3905,156372,11.3905,148320,11.3889,125479,11.3897,18698.8
11.3816,10297.3,11.384,156945,11.384,148797,11.3824,122983,11.3832,18352.8
11.3751,11260.6,11.3775,155919,11.3775,147259,11.3759,122517,11.3767,20083
11.3686,9933.99,11.371,154914,11.371,146941,11.3694,121032,11.3702,18202
11.3621,10616,11.3645,153002,11.3645,146591,11.3629,118613,11.3637,18304.8
11.3556,10978.1,11.358,153584,11.358,147790,11.3564,119448,11.3572,17779.4
11.349,10111.9,11.3515,153664,11.3515,146863,11.3499,117199,11.3507,17629.1
11.3425,9164.54,11.345,151255,11.345,145099,11.3434,115513,11.3442,17864
11.336,9811.24,11.3385,151654,11.3385,144479,11.3368,113696,11.3377,18168.6
11.3295,10127.2,11.332,151792,11.332,144229,11.3303,113658,11.3312,18373.1
11.323,8882.97,11.3255,151798,11.3255,143690,11.3238,110988,11.3246,17089.9
11.3165,10411.4,11.319,149974,11.319,143326,11.3173,111931,11.3181,18704.9
11.31,11949,11.3124,149794,11.3124,142382,11.3108,110421,11.3116,16923.2
11.3035,10060.8,11.3059,149118,11.3059,141984,11.3043,110020,11.3051,18920.7
11.297,10214.3,11.2994,149261,11.2994,142421,11.2978,109082,11.2986,17838.3
11.2905,10413.5,11.2929,149726,11.2929,142242,11.2913,108435,11.2921,18170.1
11.284,9106.93,11.2864,149052,11.2864,142554,11.2848,105226,11.2856,16662.8
11.2775,10019.1,11.2799,148596,11.2799,141029,11.2783,106620,11.2791,16423.5
11.271,9639.49,11.2734,147942,11.2734,141174,11.2718,104179,11.2726,16006.2
11.2645,11315,11.2669,146857,11.2669,139168,11.2653,104488,11.2661,17339.8
11.258,9503.14,11.2604,146631,11.2604,140543,11.2588,102307,11.2596,17345.7
11.2514,8597.23,11.2539,145455,11.2539,139068,11.2523,100831,11.2531,15257.7
11.2449,10699.2,11.2474,145381,11.2474,140021,11.2458,99576.6,11.2466,16704.8
11.2384,9513.35,11.2409,143347,11.2409,139552,11.2392,99922.3,11.2401,15680.9
11.2319,8963.15,11.2344,145845,11.2344,137095,11.2327,98069.9,11.2336,16046
11.2254,9166.69,11.2279,144849,11.2279,137603,11.2262,98856.9,11.227,17709.8
11.2189,7585.73,11.2214,144620,11.2214,137705,11.2197,98097.2,11.2205,18557.7
11.2124,9314.58,11.2148,145948,11.2148,136915,11.2132,98988.2,11.214,16660.6
11.2059,9684.34,11.2083,145244,11.2083,135905,11.2067,95802.1,11.2075,15411.9
