PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
-1.48796,277022,-1.49528,121985,-1.49528,72765.8,-1.49691,62172
-1.49447,279461,-1.50179,122886,-1.50179,71840.4,-1.50342,61443.6
-1.50098,280760,-1.5083,121969,-1.5083,73723.8,-1.50992,60601.2
-1.50748,281403,-1.5148,124763,-1.5148,72348.1,-1.51643,60186.1
-1.51399,283919,-1.52131,126139,-1.52131,72339.9,-1.52294,61439.7
-1.5205,285582,-1.52782,126059,-1.52782,74324.7,-1.52944,62627.5
-1.527,286271,-1.53432,125641,-1.53432,73477.4,-1.53595,63290.5
-1.53351,287743,-1.54083,127469,-1.54083,72972.4,-1.54246,62076.9
-1.54002,289348,-1.54734,128140,-1.54734,75426.5,-1.54896,62766.1
-1.54652,291152,-1.55384,130216,-1.55384,74275.7,-1.55547,62036.2
-1.55303,291939,-1.56035,129155,-1.56035,73801.3,-1.56198,62189.7
-1.55954,295568,-1.56686,129143,-1.56686,75047.9,-1.56848,63671.6
-1.56604,297383,-1.57336,129082,-1.57336,76875.6,-1.57499,62465.9
-1.57255,297494,-1.57987,128918,-1.57987,77339.9,-1.5815,63458.6
-1.57906,302556,-1.58638,132087,-1.58638,77621.7,-1.588,63354.7
-1.58556,303561,-1.59288,133449,-1.59288,77333.4,-1.59451,66475.2
-1.59207,306074,-1.59939,133605,-1.59939,78168.9,-1.60102,65289.3
-1.59858,308525,-1.6059,134789,-1.6059,77012.1,-1.60752,66688.6
-1.60508,311692,-1.6124,135478,-1.6124,77885.4,-1.61403,65519.4
-1.61159,313842,-1.61891,136113,-1.61891,78672.5,-1.62054,65543.2
-1.6181,314092,-1.62542,135697,-1.62542,80252.7,-1.62704,65457.6
-1.6246,318260,-1.63192,136609,-1.63192,81300.8,-1.63355,67888
-1.63111,320696,-1.63843,139932,-1.63843,80095.1,-1.64006,67062.2
-1.63762,321861,-1.64494,139416,-1.64494,81389.4,-1.64656,68154
-1.64412,326604,-1.65144,140295,-1.65144,81486.7,-1.65307,68953.4
-1.65063,330077,-1.65795,141021,-1.65795,84028.2,-1.65958,67343.2
-1.65714,332755,-1.66446,141687,-1.66446,85039.7,-1.66608,68763.2
-1.66364,337869,-1.67096,143825,-1.67096,84783.7,-1.67259,70000.1
-1.67015,339393,-1.67747,143484,-1.67747,84833.5,-1.6791,69742.1
-1.67666,342261,-1.68398,146053,-1.68398,87919.6,-1.6856,67497.8
-1.68316,348855,-1.69048,147946,-1.69048,85610.8,-1.69211,70271.7
-1.68967,353716,-1.69699,148483,-1.69699,89486.3,-1.69862,70764.3
-1.69618,358661,-1.7035,151373,-1.7035,89151.2,-1.70513,71767.4
-1.70269,364036,-1.71001,152440,-1.71001,90022,-1.71163,73316.4
-1.70919,370261,-1.71651,153955,-1.71651,92282.3,-1.71814,73516.4
-1.7157,373821,-1.72302,156728,-1.72302,93269.7,-1.72465,72964.3
-1.72221,382152,-1.72953,158994,-1.72953,93184.7,-1.73115,77012.2
-1.72871,390502,-1.73603,160290,-1.73603,97012.7,-1.73766,77090.9
-1.73522,400244,-1.74254,163868,-1.74254,96641.1,-1.74417,77261.6
-1.74173,412295,-1.74905,165473,-1.74905,99025.4,-1.75067,78459.5
-1.74823,425638,-1.75555,171731,-1.75555,102419,-1.75718,80590.2
-1.75474,443120,-1.76206,174794,-1.76206,104863,-1.76369,81914.3
-1.76125,467786,-1.76857,181226,-1.76857,108998,-1.77019,85396.5
-1.76775,510810,-1.77507,189842,-1.77507,115291,-1.7767,88918.8
-1.77426,672110,-1.78158,204232,-1.78158,124152,-1.78321,94318.5
-1.78077,575295,-1.78809,249034,-1.78809,152794,-1.78971,106696
-1.78727,538173,-1.79459,205040,-1.79459,125166,-1.79622,68086.2
-1.79378,516464,-1.8011,190942,-1.8011,116465,-1.80273,60006
-1.80029,499568,-1.80761,181314,-1.80761,108491,-1.80923,56001.1
-1.80679,485213,-1.81411,175256,-1.81411,103855,-1.81574,52217.9
-1.8133,475863,-1.82062,169812,-1.82062,100851,-1.82225,49811.5
