PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
11.5192,249816,11.5119,214180,11.5062,91432.5,11.5086,28319.4
11.5127,246533,11.5053,210223,11.4996,90374.4,11.5021,29219.1
11.5062,242256,11.4988,208114,11.4931,87943.9,11.4956,29794.1
11.4996,240598,11.4923,202278,11.4866,86852,11.4891,30497.7
11.4931,237883,11.4858,201883,11.4801,85862.7,11.4826,30350.1
11.4866,235749,11.4793,196748,11.4736,84078.6,11.4761,30287.7
11.4801,232162,11.4728,194693,11.4671,82800.5,11.4696,30136.1
11.4736,231376,11.4663,194300,11.4606,83028.4,11.463,30856
11.4671,229465,11.4598,191796,11.4541,80693.9,11.4565,31273.8
11.4606,226114,11.4533,187865,11.4476,80270,11.45,30943
11.4541,224082,11.4468,189038,11.4411,78909.8,11.4435,29940.2
11.4476,223433,11.4403,185340,11.4346,78138.5,11.437,32941.8
11.4411,221711,11.4338,184129,11.4281,77962.7,11.4305,30216
11.4346,219391,11.4273,181069,11.4216,76897.4,11.424,31850.3
11.4281,218585,11.4208,180247,11.4151,76740.6,11.4175,31049
11.4216,216729,11.4142,178119,11.4086,74150.6,11.411,32346.3
11.4151,214313,11.4077,177878,11.402,74288.6,11.4045,32055.9
11.4086,214527,11.4012,175574,11.3955,74261.3,11.398,30177.5
11.402,211546,11.3947,175506,11.389,72674.8,11.3915,32973
11.3955,212453,11.3882,173899,11.3825,72105.8,11.385,30879.4
11.389,210048,11.3817,168941,11.376,72427.1,11.3785,33948.1
11.3825,207363,11.3752,170315,11.3695,72897.1,11.372,33099.7
11.376,206967,11.3687,168593,11.363,70236.8,11.3654,31200.3
11.3695,204511,11.3622,166726,11.3565,71105.1,11.3589,33695.8
11.363,204383,11.3557,165911,11.35,70414.3,11.3524,32647.3
11.3565,202017,11.3492,165787,11.3435,68975.9,11.3459,34058.8
11.35,201046,11.3427,162544,11.337,68548.5,11.3394,34234.4
11.3435,201682,11.3362,162650,11.3305,68146.6,11.3329,32795
11.337,199419,11.3297,161431,11.324,67614.6,11.3264,33182.1
11.3305,200487,11.3232,161420,11.3175,67864.3,11.3199,33038.3
11.324,199324,11.3166,160696,11.311,67625.7,11.3134,32592.7
11.3175,199478,11.3101,156974,11.3044,67649.1,11.3069,34002.7
11.311,195606,11.3036,160184,11.2979,66699.6,11.3004,32368.3
11.3044,195268,11.2971,157936,11.2914,66092.3,11.2939,34510.2
11.2979,196608,11.2906,156475,11.2849,65559.8,11.2874,32357.5
11.2914,194625,11.2841,156240,11.2784,65368.8,11.2809,35207.1
11.2849,194485,11.2776,155713,11.2719,65289.3,11.2743,34526.3
11.2784,191668,11.2711,152947,11.2654,64073.8,11.2678,34637.8
11.2719,190490,11.2646,154569,11.2589,62892,11.2613,35361.9
11.2654,190394,11.2581,152775,11.2524,63877.4,11.2548,33657
11.2589,188557,11.2516,152272,11.2459,64022.1,11.2483,34436.4
11.2524,187331,11.2451,151750,11.2394,63365.7,11.2418,35794.1
11.2459,188498,11.2386,150547,11.2329,62026.4,11.2353,34532.8
11.2394,187414,11.2321,150382,11.2264,60782.7,11.2288,34982.2
11.2329,187296,11.2255,149400,11.2199,59896.5,11.2223,34651.7
11.2264,184633,11.219,148554,11.2133,60287.1,11.2158,35138.3
11.2199,186432,11.2125,147164,11.2068,62239,11.2093,36068.9
11.2133,185564,11.206,148108,11.2003,60299.1,11.2028,34699.5
11.2068,183662,11.1995,145743,11.1938,61209,11.1963,34831.5
11.2003,182874,11.193,146287,11.1873,59308.6,11.1898,34296.6
11.1938,183474,11.1865,146388,11.1808,60343.8,11.1833,35972.7
11.1873,180644,11.18,143617,11.1743,60579.5,11.1767,35575.6
11.1808,180629,11.1735,143646,11.1678,59440.8,11.1702,36224.8
11.1743,181998,11.167,143527,11.1613,59439.8,11.1637,35878
11.1678,182238,11.1605,143012,11.1548,58697.9,11.1572,36302.5
11.1613,179008,11.154,141027,11.1483,58027.8,11.1507,36543.1
11.1548,179559,11.1475,141425,11.1418,57683,11.1442,35884.6
11.1483,177750,11.141,140760,11.1353,57521.7,11.1377,35638.9
11.1418,178998,11.1345,142182,11.1288,56566.2,11.1312,35026.5
11.1353,176626,11.1279,140478,11.1223,56262.9,11.1247,33835.8
11.1288,178424,11.1214,138233,11.1157,57438.9,11.1182,36822.8
11.1223,175901,11.1149,140689,11.1092,56490.5,11.1117,35366.8
11.1157,174492,11.1084,136906,11.1027,55070.5,11.1052,36782.4
11.1092,175918,11.1019,139789,11.0962,56617.7,11.0987,35246.6
11.1027,175793,11.0954,137061,11.0897,56746.3,11.0922,36180.8
