PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
11.4889,67880.1,11.4906,36508.4,11.4914,107906,11.4914,23457.1
11.4824,67637.2,11.4841,35085.8,11.4849,102917,11.4849,23303.8
11.4759,67929.3,11.4776,35647.2,11.4784,100211,11.4784,23040.5
11.4694,68848.5,11.471,35641.7,11.4719,97960.2,11.4719,21172.2
11.4629,68264.1,11.4645,34936.6,11.4654,96656.2,11.4654,21558.2
11.4564,68325.3,11.458,33777,11.4588,93781.7,11.4588,19648.2
11.4499,68512.5,11.4515,33007.2,11.4523,92385.6,11.4523,20746.8
11.4434,65277.3,11.445,33476.6,11.4458,90826,11.4458,19701.4
11.4369,67532.8,11.4385,31181.9,11.4393,89879.2,11.4393,19807.1
11.4304,66805.7,11.432,31931.4,11.4328,87724.5,11.4328,19764.5
11.4239,67315.8,11.4255,32684.3,11.4263,87029,11.4263,20264.5
11.4174,68239.8,11.419,31315.6,11.4198,85590.7,11.4198,19653.6
11.4109,66354.1,11.4125,31165.2,11.4133,85132.5,11.4133,19994
11.4044,68732.5,11.406,31167.5,11.4068,82888.6,11.4068,22215.5
11.3978,68181.8,11.3995,29916.7,11.4003,82603.9,11.4003,18234.9
11.3913,68841.9,11.393,30202.2,11.3938,83019.7,11.3938,19496.5
11.3848,68128.9,11.3865,28633.6,11.3873,82273.5,11.3873,17409.7
11.3783,66719.3,11.38,29731.1,11.3808,80515.2,11.3808,18569.3
11.3718,68940.3,11.3734,29190.7,11.3743,80349.8,11.3743,17817.9
11.3653,70444.1,11.3669,30675.5,11.3678,78748.5,11.3678,17758.9
11.3588,69492.7,11.3604,29453.4,11.3612,77849.7,11.3612,18779.4
11.3523,68420.4,11.3539,29551.7,11.3547,77884.6,11.3547,17532.2
11.3458,68376.1,11.3474,30332.7,11.3482,76781.8,11.3482,17997.4
11.3393,68339.1,11.3409,30081.6,11.3417,76083,11.3417,18406.4
11.3328,67841.7,11.3344,29020.5,11.3352,75680.5,11.3352,15988.4
11.3263,68612.1,11.3279,29259.9,11.3287,74783.6,11.3287,18740.1
11.3198,68259.6,11.3214,30058.5,11.3222,74898.9,11.3222,18919.7
11.3133,69876,11.3149,29940.9,11.3157,74183.5,11.3157,18085.3
11.3068,69377.6,11.3084,29033.9,11.3092,74686.8,11.3092,19386.1
11.3002,68621.5,11.3019,28087.6,11.3027,71157.7,11.3027,16065.5
11.2937,68556.2,11.2954,28993.5,11.2962,70316.3,11.2962,18843.7
11.2872,69277.7,11.2889,29868.2,11.2897,72533.4,11.2897,17567.2
11.2807,69411.1,11.2824,27946.2,11.2832,71286.4,11.2832,17989.4
11.2742,69855.6,11.2758,30572.5,11.2767,69711.3,11.2767,17025.3
11.2677,69795.1,11.2693,27855.1,11.2702,70040.1,11.2702,17344.8
11.2612,69010.3,11.2628,26488.1,11.2636,70213.1,11.2636,16619.3
11.2547,69484.8,11.2563,29799.7,11.2571,68333.6,11.2571,16627.9
11.2482,71308.5,11.2498,28716.3,11.2506,68608.5,11.2506,16824.3
11.2417,70421,11.2433,27974.5,11.2441,66999.4,11.2441,18728.9
11.2352,69467.7,11.2368,27981.8,11.2376,68338.6,11.2376,15988.8
11.2287,69014.8,11.2303,27286.1,11.2311,67558.3,11.2311,17803.3
11.2222,69247,11.2238,29583.8,11.2246,66154.4,11.2246,16185.2
11.2157,70822.6,11.2173,28202.9,11.2181,67448.1,11.2181,17524.5
11.2092,71863.1,11.2108,29040.5,11.2116,67579.6,11.2116,15999.8
11.2026,69249.8,11.2043,28897.9,11.2051,65245.2,11.2051,18581.6
11.1961,70460.3,11.1978,28528,11.1986,66950.8,11.1986,17616
11.1896,68404.1,11.1913,27458,11.1921,65151.3,11.1921,18121.5
11.1831,70289,11.1848,28353,11.1856,65531.8,11.1856,18265.4
11.1766,70552.2,11.1782,27662.3,11.1791,64197.2,11.1791,16347.8
11.1701,70598,11.1717,28647.5,11.1725,65905.4,11.1725,17465
11.1636,69692.5,11.1652,28833.3,11.166,63877.3,11.166,17466.4
11.1571,70160.5,11.1587,28808.4,11.1595,64075.8,11.1595,17280.6
11.1506,70539.1,11.1522,27153.8,11.153,63284.4,11.153,16199.8
11.1441,71197.3,11.1457,28249.7,11.1465,62450.3,11.1465,17493.9
11.1376,70410.4,11.1392,26834.2,11.14,61904.9,11.14,15543.5
11.1311,70929.1,11.1327,27328.5,11.1335,61222.4,11.1335,17855.2
11.1246,69678,11.1262,27023.5,11.127,59404.5,11.127,16065.1
11.1181,68342.3,11.1197,26376.5,11.1205,63587.6,11.1205,16336.2
11.1115,70581.8,11.1132,28254.1,11.114,60046.9,11.114,16956.2
11.105,71007.4,11.1067,28225.7,11.1075,61493.9,11.1075,17661.4
11.0985,70204.7,11.1002,27740.9,11.101,58977.2,11.101,16673
11.092,70383.3,11.0937,26096,11.0945,60761.3,11.0945,16214.4
11.0855,67907.3,11.0871,27211,11.088,60398.3,11.088,16590.5
11.079,71476.2,11.0806,28640.6,11.0815,58477.4,11.0815,16061.9
11.0725,69387.3,11.0741,29300.1,11.0749,61185.2,11.0749,15459.9
11.066,70337.1,11.0676,27093.1,11.0684,59136.6,11.0684,16758.3
11.0595,70883.9,11.0611,26316,11.0619,59096.5,11.0619,15110.8
11.053,70239.4,11.0546,28138.2,11.0554,57894.5,11.0554,17142.6
11.0465,71145.4,11.0481,26048.1,11.0489,58002.1,11.0489,14695.6
11.04,70690.8,11.0416,28077.1,11.0424,57887,11.0424,15667.6
11.0335,70427.8,11.0351,26929.5,11.0359,57499.1,11.0359,17340.6
11.027,69299.8,11.0286,26870.5,11.0294,56891.9,11.0294,16832.3
11.0205,71831.6,11.0221,27141.4,11.0229,56490.5,11.0229,15698.8
11.0139,70975.3,11.0156,26407.3,11.0164,57023.4,11.0164,16801.9
11.0074,69681.9,11.0091,27721.6,11.0099,55964.9,11.0099,15473.2
11.0009,72065.2,11.0026,28151.6,11.0034,56285.4,11.0034,16751.6
10.9944,70273.2,10.9961,27880,10.9969,56017.7,10.9969,16671.4
10.9879,70287,10.9895,26976.1,10.9904,57725.5,10.9904,15761.1
10.9814,71755.3,10.983,26315.2,10.9839,56155,10.9839,15829.1
10.9749,68968.9,10.9765,29321.4,10.9773,56245.7,10.9773,15632.8
10.9684,70398.4,10.97,26573,10.9708,56095.5,10.9708,18695.6
10.9619,71980.5,10.9635,27138,10.9643,54917,10.9643,16889.2
10.9554,71628.3,10.957,25816.4,10.9578,53930.6,10.9578,14726.2
10.9489,70800.1,10.9505,28275.9,10.9513,54569.4,10.9513,16174.2
10.9424,71295.7,10.944,26548,10.9448,54393.2,10.9448,15883.9
10.9359,70355.3,10.9375,27384.3,10.9383,53711.7,10.9383,17634.7
10.9294,70181.6,10.931,27031,10.9318,55408.5,10.9318,16055.3
10.9229,70200.1,10.9245,27394.3,10.9253,52939,10.9253,14911.9
10.9163,71164,10.918,27871.8,10.9188,53959.9,10.9188,17431.9
10.9098,70554,10.9115,27816,10.9123,53319,10.9123,15015
10.9033,72197.6,10.905,26368,10.9058,52037.8,10.9058,16983.8
10.8968,71177.3,10.8985,26407.6,10.8993,53395.4,10.8993,15490.9
10.8903,70775.2,10.8919,26380.5,10.8928,52932.3,10.8928,15286.4
10.8838,70987.4,10.8854,25659.8,10.8863,53430.5,10.8863,15349.8
10.8773,70407.7,10.8789,26863.8,10.8797,51560,10.8797,15759.3
10.8708,70200.6,10.8724,26188.4,10.8732,53122.1,10.8732,14799.6
10.8643,68741.1,10.8659,28049.2,10.8667,52118.7,10.8667,18231.7
10.8578,72487.9,10.8594,27463.3,10.8602,51179.6,10.8602,13792.3
10.8513,71615.6,10.8529,26719.4,10.8537,54157.5,10.8537,17220.2
10.8448,71721.1,10.8464,27034.8,10.8472,51870.6,10.8472,15743.4
10.8383,72366.9,10.8399,26231.1,10.8407,52976,10.8407,17681.6
10.8318,72066.4,10.8334,27798.4,10.8342,52916.7,10.8342,16301.2
10.8253,71532.7,10.8269,25496.7,10.8277,53961.8,10.8277,15661.3
10.8187,71567.2,10.8204,25733.3,10.8212,50362.6,10.8212,16531.9
10.8122,71269,10.8139,26437.6,10.8147,50389.9,10.8147,17815
10.8057,69497.4,10.8074,26245.4,10.8082,50329.3,10.8082,16902.1
10.7992,70725.2,10.8009,27669.4,10.8017,53526.1,10.8017,15617.1
10.7927,71049.9,10.7943,28217.1,10.7952,52345.3,10.7952,16555.8
10.7862,72221.4,10.7878,26305,10.7887,49476.5,10.7887,14611.3
10.7797,69610.2,10.7813,26851.6,10.7821,49995.7,10.7821,14661.8
10.7732,72081.4,10.7748,24195.6,10.7756,49570.3,10.7756,16694.7
10.7667,70571.9,10.7683,27799.5,10.7691,50025.6,10.7691,14335.8
10.7602,71768.3,10.7618,26961.6,10.7626,49776.3,10.7626,16037.7
10.7537,70791.2,10.7553,25916.4,10.7561,51804,10.7561,16369.8
10.7472,70493.8,10.7488,23824.3,10.7496,50261.4,10.7496,14988.6
10.7407,71378.1,10.7423,27600.2,10.7431,48071.9,10.7431,14273.6
10.7342,72109.9,10.7358,24020.1,10.7366,49734.7,10.7366,17260.9
10.7277,71446.3,10.7293,26115.1,10.7301,48831,10.7301,16748.2
10.7211,69848.5,10.7228,28772.5,10.7236,48472.6,10.7236,16558.8
10.7146,71007.4,10.7163,26902.4,10.7171,50165.6,10.7171,15806.9
10.7081,70223.4,10.7098,25670.5,10.7106,49645.7,10.7106,16678.9
10.7016,72687.3,10.7033,25070,10.7041,49855.8,10.7041,14811.7
10.6951,71515.1,10.6967,24389.8,10.6976,49985.6,10.6976,14330.2
10.6886,70836.5,10.6902,26556.3,10.6911,47379.2,10.6911,15021.3
10.6821,71838.1,10.6837,27120.8,10.6845,47672.4,10.6845,15994.3
10.6756,71408.4,10.6772,24783.2,10.678,46166.3,10.678,14194.8
10.6691,70035.2,10.6707,26369,10.6715,48310.5,10.6715,14729.6
10.6626,70555.2,10.6642,26231.1,10.665,48518.2,10.665,16000.3
10.6561,71627.2,10.6577,25586.5,10.6585,48353.1,10.6585,14777.2
10.6496,71557.7,10.6512,25200,10.652,48744.8,10.652,16155.3
10.6431,73191.5,10.6447,25901.5,10.6455,47916.5,10.6455,17406.7
10.6366,69856.9,10.6382,25270,10.639,48185.8,10.639,16638.4
10.63,71016.8,10.6317,24619.7,10.6325,48140.5,10.6325,13816.9
10.6235,68466.6,10.6252,26684.8,10.626,46756.3,10.626,16493
10.617,71903,10.6187,24772.9,10.6195,47007.1,10.6195,15201.9
10.6105,70390.7,10.6122,26685.1,10.613,47746.6,10.613,15867.1
10.604,70138.1,10.6056,22990,10.6065,47081.2,10.6065,14878
10.5975,71776.7,10.5991,26350.5,10.6,47285.6,10.6,15000.1
10.591,69744.9,10.5926,24520.3,10.5934,47762.1,10.5934,14154.5
