PPM_0,mag_0,PPM_8,mag_8,PPM_4,mag_4,PPM_2,mag_2,PPM_1,mag_1
11.4889,10232.6,11.4809,898967,11.4881,169077,11.4924,114577,11.4851,4890680
11.4824,10288.9,11.4744,869767,11.4816,167021,11.4859,112306,11.4786,4638200
11.4759,10912.3,11.4679,846619,11.4751,163896,11.4794,111524,11.472,4433620
11.4694,9134.2,11.4614,827707,11.4686,161627,11.4728,110961,11.4655,4262680
11.4629,9241.25,11.4549,813159,11.4621,160222,11.4663,108354,11.459,4115860
11.4564,9322.84,11.4484,799314,11.4556,159394,11.4598,107227,11.4525,3988020
11.4499,9320.17,11.4419,786469,11.4491,156706,11.4533,106741,11.446,3875440
11.4434,9745.39,11.4354,773612,11.4426,155642,11.4468,105538,11.4395,3771580
11.4369,9848.7,11.4289,765434,11.4361,154118,11.4403,105224,11.433,3678190
11.4304,9961.86,11.4224,755390,11.4296,153423,11.4338,102818,11.4265,3594730
11.4239,10066.2,11.4159,747481,11.4231,154020,11.4273,103525,11.42,3516970
11.4174,10673.1,11.4094,740379,11.4166,153484,11.4208,103072,11.4135,3444410
11.4109,11596.5,11.4029,732295,11.41,152019,11.4143,102277,11.407,3379980
11.4044,10529,11.3964,725228,11.4035,149742,11.4078,101268,11.4005,3316740
11.3978,11938.1,11.3898,719317,11.397,149320,11.4013,100960,11.394,3259550
11.3913,9495.74,11.3833,714401,11.3905,148320,11.3948,100345,11.3875,3204300
11.3848,9646.1,11.3768,708423,11.384,148797,11.3883,99841.9,11.3809,3154940
11.3783,10333.2,11.3703,701793,11.3775,147259,11.3818,99897.8,11.3744,3106940
11.3718,11019.4,11.3638,698644,11.371,146941,11.3752,96980.3,11.3679,3061200
11.3653,8873.6,11.3573,693302,11.3645,146591,11.3687,97798.4,11.3614,3017440
11.3588,10476.5,11.3508,686425,11.358,147790,11.3622,96056.3,11.3549,2976910
11.3523,9191.28,11.3443,682978,11.3515,146863,11.3557,96584.3,11.3484,2939620
11.3458,10582.4,11.3378,679557,11.345,145099,11.3492,96323.4,11.3419,2901540
11.3393,10051.4,11.3313,676026,11.3385,144479,11.3427,97272.9,11.3354,2867300
11.3328,9271.23,11.3248,671841,11.332,144229,11.3362,94549.5,11.3289,2833250
11.3263,9740.97,11.3183,667572,11.3255,143690,11.3297,95695.1,11.3224,2800600
11.3198,12372.4,11.3118,663265,11.319,143326,11.3232,92546.9,11.3159,2767830
11.3133,9521.03,11.3053,660179,11.3124,142382,11.3167,93014.7,11.3094,2739030
11.3068,10539.1,11.2987,655526,11.3059,141984,11.3102,93225.5,11.3029,2708500
11.3002,10076.6,11.2922,653048,11.2994,142421,11.3037,93917.7,11.2964,2681380
11.2937,9701.24,11.2857,650435,11.2929,142242,11.2972,93465.8,11.2899,2655140
11.2872,10887.5,11.2792,646112,11.2864,142554,11.2907,93273,11.2833,2627980
11.2807,8948.32,11.2727,644412,11.2799,141029,11.2841,92756.2,11.2768,2605520
11.2742,10447.1,11.2662,639445,11.2734,141174,11.2776,92909.4,11.2703,2579520
11.2677,9273.7,11.2597,638523,11.2669,139168,11.2711,93658.8,11.2638,2554920
11.2612,10398.5,11.2532,635220,11.2604,140543,11.2646,91907.8,11.2573,2533710
11.2547,10571.6,11.2467,630808,11.2539,139068,11.2581,92529.5,11.2508,2512050
11.2482,7912.35,11.2402,628933,11.2474,140021,11.2516,91067.2,11.2443,2489850
11.2417,8963.51,11.2337,626309,11.2409,139552,11.2451,90796.5,11.2378,2468860
11.2352,9070.24,11.2272,623012,11.2344,137095,11.2386,91182.6,11.2313,2448050
11.2287,9410.66,11.2207,620334,11.2279,137603,11.2321,90790.4,11.2248,2431200
11.2222,10261.8,11.2142,618482,11.2214,137705,11.2256,90809.8,11.2183,2410450
11.2157,9485.34,11.2077,616632,11.2148,136915,11.2191,90101.9,11.2118,2391810
11.2092,10506.5,11.2011,613402,11.2083,135905,11.2126,89496.6,11.2053,2375040
11.2026,10521.7,11.1946,610192,11.2018,137026,11.2061,90623.3,11.1988,2356540
11.1961,9832.26,11.1881,608431,11.1953,136316,11.1996,89979.9,11.1922,2339960
11.1896,10314.2,11.1816,606645,11.1888,138226,11.1931,88626.7,11.1857,2323120
11.1831,10330.6,11.1751,603527,11.1823,134884,11.1865,88673.8,11.1792,2306680
11.1766,9683.39,11.1686,602653,11.1758,136761,11.18,88273.7,11.1727,2290110
11.1701,9880.71,11.1621,598707,11.1693,135950,11.1735,89083.3,11.1662,2275500
11.1636,10388.9,11.1556,597680,11.1628,134765,11.167,88186.9,11.1597,2262210
11.1571,11108.6,11.1491,594312,11.1563,134540,11.1605,88295.5,11.1532,2246180
11.1506,8919.43,11.1426,591857,11.1498,134510,11.154,87270.5,11.1467,2232440
11.1441,9672.86,11.1361,590933,11.1433,135075,11.1475,88089.6,11.1402,2219700
11.1376,9175.98,11.1296,588581,11.1368,133956,11.141,87176.8,11.1337,2205120
11.1311,7855.61,11.1231,586348,11.1303,132954,11.1345,86653.7,11.1272,2191960
11.1246,9685.63,11.1166,583907,11.1237,134987,11.128,87559.9,11.1207,2178400
11.1181,8670.26,11.1101,584370,11.1172,134330,11.1215,86856.3,11.1142,2165620
11.1115,8913.65,11.1035,581027,11.1107,133511,11.115,85439.6,11.1077,2153550
11.105,10571,11.097,580794,11.1042,131668,11.1085,86990.7,11.1011,2142210
11.0985,9876.29,11.0905,578546,11.0977,133513,11.102,84447.3,11.0946,2129990
11.092,8823.57,11.084,575428,11.0912,130872,11.0954,85794.3,11.0881,2120140
11.0855,7624.75,11.0775,572578,11.0847,132657,11.0889,86813.7,11.0816,2106540
11.079,8391.38,11.071,570798,11.0782,132045,11.0824,85503.3,11.0751,2098110
11.0725,8140.98,11.0645,569333,11.0717,131029,11.0759,86426.7,11.0686,2085610
11.066,10044.6,11.058,568577,11.0652,132582,11.0694,86072.8,11.0621,2077120
11.0595,10541.8,11.0515,566394,11.0587,131957,11.0629,86662,11.0556,2067510
11.053,7441,11.045,564916,11.0522,131800,11.0564,86183.2,11.0491,2057330
11.0465,9012.64,11.0385,562616,11.0457,132172,11.0499,83941.2,11.0426,2047630
11.04,9692.75,11.032,561902,11.0392,131202,11.0434,85447.2,11.0361,2037420
11.0335,8759.85,11.0255,560277,11.0327,129168,11.0369,85560.2,11.0296,2027240
11.027,8016.76,11.019,557866,11.0261,128527,11.0304,83736.1,11.0231,2019200
11.0205,8321.87,11.0124,557356,11.0196,131926,11.0239,84890.5,11.0166,2010020
11.0139,8616.3,11.0059,556128,11.0131,129083,11.0174,85449.9,11.0101,2003100
11.0074,9836.74,10.9994,554193,11.0066,130079,11.0109,82888.7,11.0035,1991690
11.0009,8687.68,10.9929,553116,11.0001,128561,11.0043,83093.2,10.997,1984230
10.9944,7640.34,10.9864,548054,10.9936,129252,10.9978,82766.6,10.9905,1975900
10.9879,8419.75,10.9799,550560,10.9871,128293,10.9913,83784.4,10.984,1966840
10.9814,10471.9,10.9734,548962,10.9806,128799,10.9848,83866.4,10.9775,1961440
10.9749,7663.07,10.9669,546037,10.9741,129399,10.9783,82611.7,10.971,1951770
10.9684,9680.59,10.9604,545040,10.9676,129081,10.9718,83731.1,10.9645,1944870
10.9619,7361.89,10.9539,543717,10.9611,129855,10.9653,83626.8,10.958,1938150
10.9554,9719.84,10.9474,543603,10.9546,128684,10.9588,80042.9,10.9515,1927750
10.9489,9976.79,10.9409,540529,10.9481,129598,10.9523,82523.3,10.945,1924460
10.9424,7344.27,10.9344,537283,10.9416,129446,10.9458,82223.5,10.9385,1916380
10.9359,9180.65,10.9279,538400,10.9351,125267,10.9393,82643.4,10.932,1909490
10.9294,8670.92,10.9214,536751,10.9285,127317,10.9328,81522.6,10.9255,1902550
10.9229,8273.41,10.9148,536357,10.922,129055,10.9263,81702.1,10.919,1896090
10.9163,7317.5,10.9083,534684,10.9155,127833,10.9198,82320.3,10.9124,1891130
10.9098,8465.26,10.9018,533776,10.909,128368,10.9133,82578.6,10.9059,1882760
10.9033,8238.51,10.8953,533467,10.9025,126441,10.9067,80288.4,10.8994,1879460
10.8968,8980.18,10.8888,532765,10.896,128018,10.9002,81807.6,10.8929,1874240
10.8903,6603.67,10.8823,530187,10.8895,126351,10.8937,81142.2,10.8864,1865830
10.8838,8120.62,10.8758,527157,10.883,127945,10.8872,81896,10.8799,1860470
10.8773,7738.55,10.8693,526762,10.8765,126637,10.8807,81413.6,10.8734,1855330
10.8708,6096.66,10.8628,524328,10.87,125969,10.8742,81457.2,10.8669,1850910
10.8643,8166.57,10.8563,525338,10.8635,125834,10.8677,80440.6,10.8604,1843610
10.8578,6923.91,10.8498,523699,10.857,125158,10.8612,81063,10.8539,1839000
10.8513,6873.12,10.8433,519950,10.8505,124549,10.8547,80098.3,10.8474,1834150
10.8448,8680.39,10.8368,521559,10.844,125226,10.8482,80004.2,10.8409,1827470
10.8383,8250.26,10.8303,520895,10.8375,125339,10.8417,79643.8,10.8344,1823890
10.8318,8500.74,10.8237,518765,10.8309,123257,10.8352,80477.9,10.8279,1819820
10.8253,7671.13,10.8172,519706,10.8244,124714,10.8287,79991.6,10.8214,1812960
10.8187,8002.14,10.8107,517650,10.8179,125711,10.8222,81541,10.8148,1810220
10.8122,8463.09,10.8042,517230,10.8114,124178,10.8156,80490.8,10.8083,1803820
10.8057,7960.5,10.7977,515416,10.8049,125724,10.8091,79362.7,10.8018,1798390
10.7992,9034.69,10.7912,514381,10.7984,124918,10.8026,78300.3,10.7953,1794560
10.7927,9374.09,10.7847,511783,10.7919,123862,10.7961,81155,10.7888,1788340
10.7862,8665.35,10.7782,510454,10.7854,124753,10.7896,79408.4,10.7823,1786170
10.7797,7912.63,10.7717,510010,10.7789,124344,10.7831,79763,10.7758,1783500
10.7732,7663.02,10.7652,509868,10.7724,124129,10.7766,78871.1,10.7693,1779090
10.7667,8419.32,10.7587,508293,10.7659,124045,10.7701,79181.1,10.7628,1774240
10.7602,5469.4,10.7522,508392,10.7594,123275,10.7636,79514.4,10.7563,1769180
10.7537,7987.54,10.7457,507202,10.7529,124234,10.7571,79704.2,10.7498,1767020
10.7472,8359.13,10.7392,505298,10.7464,124431,10.7506,78292.3,10.7433,1763500
10.7407,6233.91,10.7327,503574,10.7399,122023,10.7441,78416.4,10.7368,1758340
10.7342,8138.89,10.7261,501849,10.7333,124444,10.7376,78405.5,10.7303,1755740
10.7277,6476.08,10.7196,501165,10.7268,123278,10.7311,78181.8,10.7237,1751410
10.7211,7519.48,10.7131,502806,10.7203,122095,10.7246,77064.5,10.7172,1746740
10.7146,5945.89,10.7066,500071,10.7138,122296,10.718,77603.3,10.7107,1743670
10.7081,8757.21,10.7001,500022,10.7073,122325,10.7115,79031.1,10.7042,1740590
10.7016,7890.4,10.6936,499646,10.7008,122740,10.705,76226,10.6977,1736880
10.6951,9097.43,10.6871,498177,10.6943,122011,10.6985,77010.8,10.6912,1733290
