PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97,PPM_144,mag_144,PPM_288,mag_288
11.4785,43915.1,11.481,43358.5,11.4924,114577,11.4956,33928,11.4932,164465
11.472,43992.3,11.4745,41620.1,11.4859,112306,11.4891,33072.6,11.4867,159223
11.4655,40152.5,11.468,41016.6,11.4794,111524,11.4826,32366.1,11.4802,157146
11.459,39079.8,11.4615,40250.4,11.4728,110961,11.4761,34795.2,11.4737,153100
11.4525,36737.7,11.455,38407.9,11.4663,108354,11.4696,33847.4,11.4672,150991
11.446,36440.6,11.4484,37532.5,11.4598,107227,11.4631,34476.4,11.4606,149175
11.4395,35483.7,11.4419,37292.5,11.4533,106741,11.4566,34386.6,11.4541,147155
11.433,32716.7,11.4354,36705.6,11.4468,105538,11.4501,33945.2,11.4476,144600
11.4265,33522,11.4289,34767.4,11.4403,105224,11.4436,35348,11.4411,143618
11.42,32453,11.4224,34316.3,11.4338,102818,11.4371,34621.6,11.4346,141178
11.4135,32581.8,11.4159,35347.7,11.4273,103525,11.4306,35196.1,11.4281,139438
11.407,31126.4,11.4094,33154.5,11.4208,103072,11.424,33357.8,11.4216,137054
11.4005,31803.7,11.4029,32526.9,11.4143,102277,11.4175,35656.8,11.4151,136785
11.394,29273.3,11.3964,32756,11.4078,101268,11.411,33978.3,11.4086,135310
11.3874,29618.5,11.3899,32648.6,11.4013,100960,11.4045,33698.4,11.4021,134741
11.3809,28256.8,11.3834,32072.5,11.3948,100345,11.398,34986.8,11.3956,133805
11.3744,30587.6,11.3769,30774.9,11.3883,99841.9,11.3915,34742.4,11.3891,133150
11.3679,28697.1,11.3704,31327.4,11.3818,99897.8,11.385,35924.4,11.3826,130397
11.3614,26604.7,11.3639,32619.9,11.3752,96980.3,11.3785,34191,11.3761,130196
11.3549,27461.3,11.3574,29556.8,11.3687,97798.4,11.372,35740,11.3696,130935
11.3484,28299.6,11.3508,30052.3,11.3622,96056.3,11.3655,35202.1,11.363,127880
11.3419,27566,11.3443,29224.2,11.3557,96584.3,11.359,35827.1,11.3565,127794
11.3354,27209.6,11.3378,28690.7,11.3492,96323.4,11.3525,34902.6,11.35,128151
11.3289,25676.5,11.3313,29554.8,11.3427,97272.9,11.346,36085.5,11.3435,126295
11.3224,25473.4,11.3248,28133.4,11.3362,94549.5,11.3395,37173.2,11.337,126373
11.3159,26106.3,11.3183,27566.1,11.3297,95695.1,11.3329,37871,11.3305,124379
11.3094,26407.1,11.3118,28894.6,11.3232,92546.9,11.3264,35136.6,11.324,122729
11.3029,24853.3,11.3053,28404.5,11.3167,93014.7,11.3199,34869.5,11.3175,123032
11.2963,25094.4,11.2988,28557.5,11.3102,93225.5,11.3134,36089,11.311,123066
11.2898,23671.7,11.2923,28431.4,11.3037,93917.7,11.3069,37117.3,11.3045,122577
11.2833,23557.7,11.2858,27202.1,11.2972,93465.8,11.3004,34233.4,11.298,121830
11.2768,23717.6,11.2793,28599,11.2907,93273,11.2939,36923.5,11.2915,120442
11.2703,24183.6,11.2728,26966.5,11.2841,92756.2,11.2874,36759.6,11.285,119638
11.2638,23797.4,11.2663,26882.3,11.2776,92909.4,11.2809,35282.1,11.2785,119002
