PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97,PPM_144,mag_144,PPM_288,mag_288
11.4849,62712.1,11.4881,21375.3,11.4889,10232.6,11.4889,27070.8,11.4906,23004.9
11.4784,61458.5,11.4816,21248.9,11.4824,10288.9,11.4824,26321.2,11.4841,22809.2
11.4719,60402.2,11.4751,20638.7,11.4759,10912.3,11.4759,26213.9,11.4776,22085.3
11.4654,59606,11.4686,20336.2,11.4694,9134.2,11.4694,26826.6,11.471,20996.4
11.4588,58229,11.4621,20382.2,11.4629,9241.25,11.4629,26770.2,11.4645,21019.9
11.4523,56986.4,11.4556,19091.7,11.4564,9322.84,11.4564,26787.2,11.458,21611.9
11.4458,56958.9,11.4491,19966.4,11.4499,9320.17,11.4499,26792.7,11.4515,18175.7
11.4393,56617.4,11.4426,19785.6,11.4434,9745.39,11.4434,26778.7,11.445,19193.1
11.4328,55864.2,11.4361,18606.5,11.4369,9848.7,11.4369,25913,11.4385,18838.8
11.4263,53328.3,11.4296,18659.1,11.4304,9961.86,11.4304,26685.4,11.432,19015
11.4198,54081.2,11.4231,19930.7,11.4239,10066.2,11.4239,26039.9,11.4255,19048.8
11.4133,53284.7,11.4166,18754.9,11.4174,10673.1,11.4174,28374,11.419,18279.8
11.4068,52551.1,11.41,19831.5,11.4109,11596.5,11.4109,26173.1,11.4125,18048.1
11.4003,52552.1,11.4035,18360.3,11.4044,10529,11.4044,26611.1,11.406,17824
11.3938,52493.9,11.397,19251.8,11.3978,11938.1,11.3978,26851,11.3995,17664.2
11.3873,51006.2,11.3905,18153.2,11.3913,9495.74,11.3913,26464.5,11.393,15053.1
11.3808,52643.6,11.384,18065.5,11.3848,9646.1,11.3848,27885.6,11.3865,15982.4
11.3743,52481,11.3775,17917.5,11.3783,10333.2,11.3783,25731,11.38,16389.3
11.3678,50280.6,11.371,17650.1,11.3718,11019.4,11.3718,25386.6,11.3734,16916.3
11.3612,50809.5,11.3645,17963.3,11.3653,8873.6,11.3653,27323.6,11.3669,17437.7
11.3547,51082.8,11.358,18584.3,11.3588,10476.5,11.3588,26455,11.3604,15200.3
11.3482,52000.5,11.3515,17485.9,11.3523,9191.28,11.3523,27442.1,11.3539,16732.3
11.3417,51148.9,11.345,18834,11.3458,10582.4,11.3458,27634.9,11.3474,17240
11.3352,48534.6,11.3385,15778.9,11.3393,10051.4,11.3393,25095.2,11.3409,14917.5
11.3287,50082,11.332,16188.1,11.3328,9271.23,11.3328,27519.1,11.3344,15850.4
11.3222,50430.6,11.3255,17694.4,11.3263,9740.97,11.3263,26605.9,11.3279,16137
11.3157,50124.9,11.319,19033,11.3198,12372.4,11.3198,26222,11.3214,16758
11.3092,48384.8,11.3124,17341,11.3133,9521.03,11.3133,27002.9,11.3149,13733.9
11.3027,51137.6,11.3059,18654.9,11.3068,10539.1,11.3068,25835.8,11.3084,14762.4
11.2962,49853.8,11.2994,18862.8,11.3002,10076.6,11.3002,26217.4,11.3019,15310
11.2897,50493.2,11.2929,18100.8,11.2937,9701.24,11.2937,25436.1,11.2954,15346.8
11.2832,49735.3,11.2864,15388.1,11.2872,10887.5,11.2872,25322.2,11.2889,15497.8
11.2767,49647.8,11.2799,18322.4,11.2807,8948.32,11.2807,25834.1,11.2824,14468.7
11.2702,49006.8,11.2734,15414.8,11.2742,10447.1,11.2742,26243.3,11.2758,12448.2
11.2636,48992.8,11.2669,16616.3,11.2677,9273.7,11.2677,24352.9,11.2693,15387.3
11.2571,49153.7,11.2604,16186.5,11.2612,10398.5,11.2612,27711.8,11.2628,13688.9
11.2506,47340.8,11.2539,17268.2,11.2547,10571.6,11.2547,25001.6,11.2563,13425.9
11.2441,48974.7,11.2474,16563.3,11.2482,7912.35,11.2482,25777.8,11.2498,14346.1
11.2376,48538.8,11.2409,16007.1,11.2417,8963.51,11.2417,25922.7,11.2433,14083.1
11.2311,48129.1,11.2344,16639.5,11.2352,9070.24,11.2352,25115.7,11.2368,12793.2
11.2246,48414.6,11.2279,16416.8,11.2287,9410.66,11.2287,25134.7,11.2303,14119.5
11.2181,49059.7,11.2214,17090.2,11.2222,10261.8,11.2222,25951.2,11.2238,15267.1
11.2116,47593.9,11.2148,15909,11.2157,9485.34,11.2157,26034.9,11.2173,14470.8
11.2051,49006.4,11.2083,15894,11.2092,10506.5,11.2092,25864,11.2108,13092.6
11.1986,47459.6,11.2018,14410.2,11.2026,10521.7,11.2026,25986.4,11.2043,14173.5
11.1921,48514.6,11.1953,18063,11.1961,9832.26,11.1961,25338.2,11.1978,13453.3
11.1856,48203,11.1888,14986.6,11.1896,10314.2,11.1896,27241.5,11.1913,12752.6
11.1791,48418.9,11.1823,14919.6,11.1831,10330.6,11.1831,26995.7,11.1848,12785.1
11.1725,48150.1,11.1758,13726.7,11.1766,9683.39,11.1766,26108.2,11.1782,14109.9
11.166,47946.6,11.1693,14435,11.1701,9880.71,11.1701,24971.2,11.1717,13148.6
11.1595,47757.2,11.1628,14940.6,11.1636,10388.9,11.1636,25445.5,11.1652,12003.9
11.153,49040.1,11.1563,15970,11.1571,11108.6,11.1571,25004.7,11.1587,12740.5
11.1465,47438.4,11.1498,15990.4,11.1506,8919.43,11.1506,25517.8,11.1522,14725.9
11.14,47610.8,11.1433,16315.3,11.1441,9672.86,11.1441,25552.2,11.1457,12453.7
11.1335,48124.2,11.1368,17291.3,11.1376,9175.98,11.1376,24895.3,11.1392,14131.1
11.127,47791.7,11.1303,15967.8,11.1311,7855.61,11.1311,27998.8,11.1327,14063.2
11.1205,46650.4,11.1237,15196.8,11.1246,9685.63,11.1246,22875.6,11.1262,13143.7
11.114,48080.6,11.1172,15128,11.1181,8670.26,11.1181,24848.4,11.1197,11259.1
11.1075,48875.2,11.1107,16124.8,11.1115,8913.65,11.1115,24974.3,11.1132,13344.2
11.101,48496.4,11.1042,16846.7,11.105,10571,11.105,25297.7,11.1067,11355.3
11.0945,48602.5,11.0977,12348.6,11.0985,9876.29,11.0985,24500.9,11.1002,12626.8
11.088,45072.7,11.0912,15098.5,11.092,8823.57,11.092,24858.9,11.0937,13911.8
11.0815,47184.3,11.0847,16035.7,11.0855,7624.75,11.0855,26283.8,11.0871,13623.2
11.0749,45771.7,11.0782,15154.5,11.079,8391.38,11.079,23981.3,11.0806,14463.4
11.0684,45830.2,11.0717,16052.9,11.0725,8140.98,11.0725,23977.8,11.0741,12147.4
11.0619,47822.4,11.0652,15793,11.066,10044.6,11.066,24789.1,11.0676,12981.1
11.0554,48371.8,11.0587,15295.6,11.0595,10541.8,11.0595,25887.6,11.0611,11177.3
11.0489,48398.2,11.0522,14097,11.053,7441,11.053,24499.8,11.0546,11518.8
11.0424,48258.6,11.0457,12797.4,11.0465,9012.64,11.0465,26023.9,11.0481,13417.5
11.0359,46833.1,11.0392,14335.1,11.04,9692.75,11.04,25454,11.0416,10588.8
11.0294,47417.1,11.0327,15570,11.0335,8759.85,11.0335,25686.9,11.0351,12052.8
11.0229,44634.1,11.0261,14327.9,11.027,8016.76,11.027,25984.5,11.0286,14435.1
11.0164,47554.4,11.0196,14054.6,11.0205,8321.87,11.0205,26089.8,11.0221,12822.5
11.0099,46245.5,11.0131,13391.3,11.0139,8616.3,11.0139,25900.8,11.0156,10793.2
11.0034,45779.3,11.0066,13943.7,11.0074,9836.74,11.0074,25310.6,11.0091,11200.7
10.9969,45799.9,11.0001,13455.3,11.0009,8687.68,11.0009,24100.5,11.0026,12886.2
10.9904,46036.6,10.9936,13547.1,10.9944,7640.34,10.9944,25923.3,10.9961,13716.7
10.9839,46479.6,10.9871,16541.3,10.9879,8419.75,10.9879,26287.3,10.9895,11916.5
10.9773,45852.2,10.9806,14871.1,10.9814,10471.9,10.9814,24426.8,10.983,11206.1
10.9708,46145.7,10.9741,14704.3,10.9749,7663.07,10.9749,27141.1,10.9765,10832.5
