PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
11.5029,45833.1,11.4932,100696,11.4981,40013.6,11.5038,37018.7
11.4964,45136,11.4867,99936.2,11.4916,38966.9,11.4972,36907.8
11.4899,43634.1,11.4802,95896.7,11.485,38870.5,11.4907,34337.7
11.4834,43764.7,11.4737,95083.2,11.4785,37674.1,11.4842,35697
11.4769,41938.1,11.4672,92963.3,11.472,36823.5,11.4777,35252.1
11.4704,40652.6,11.4606,91404.5,11.4655,37899.5,11.4712,34082.6
11.4639,39959.4,11.4541,89945,11.459,38150.7,11.4647,34547.3
11.4574,39714.2,11.4476,88792.7,11.4525,36251.5,11.4582,34384.2
11.4509,38373.1,11.4411,87834.9,11.446,37080.8,11.4517,32756.8
11.4444,39488.3,11.4346,84699.2,11.4395,36952,11.4452,32899.6
11.4379,38683,11.4281,86311.5,11.433,36880.3,11.4387,32450.7
11.4314,36429.1,11.4216,82910.7,11.4265,36267.6,11.4322,31359
11.4249,36243.1,11.4151,83642.2,11.42,36938.9,11.4257,33138.5
11.4184,33824.6,11.4086,81455.1,11.4135,35500.2,11.4192,32279.3
11.4118,35793,11.4021,82657.2,11.407,36949.3,11.4127,30603.3
11.4053,34599.4,11.3956,82483.2,11.4005,34796.9,11.4062,31721
11.3988,34302.6,11.3891,80191.3,11.394,35501.7,11.3996,31080.4
11.3923,33628.8,11.3826,80400.8,11.3874,36595.4,11.3931,30537.4
11.3858,31974.4,11.3761,78750.5,11.3809,36310.4,11.3866,32695.4
11.3793,31413.9,11.3696,78286.8,11.3744,34342.1,11.3801,30468.7
11.3728,32758.2,11.363,78744.8,11.3679,35466,11.3736,29687.6
11.3663,32672.3,11.3565,78438.7,11.3614,34508.3,11.3671,31857.5
11.3598,31500,11.35,75205.1,11.3549,36270.5,11.3606,29570.7
11.3533,31085,11.3435,78511.6,11.3484,36593.8,11.3541,29172.8
11.3468,29464.6,11.337,76367.5,11.3419,34947.5,11.3476,28701
11.3403,31526.8,11.3305,74682,11.3354,33783.3,11.3411,28918.3
11.3338,29145.8,11.324,74118.7,11.3289,33465.4,11.3346,29458.6
11.3273,29586.6,11.3175,75673.6,11.3224,35083.5,11.3281,29660
11.3207,30050.5,11.311,73390.3,11.3159,33738.8,11.3216,28151.1
11.3142,27229.9,11.3045,73264.1,11.3094,33285.5,11.3151,27928.4
11.3077,27410.2,11.298,73993.1,11.3029,34868.5,11.3085,28518.1
11.3012,28630.6,11.2915,73521,11.2963,30775.7,11.302,26809.9
11.2947,28925.6,11.285,72649.1,11.2898,32803.1,11.2955,27339.6
11.2882,26631.6,11.2785,71881.5,11.2833,33871.3,11.289,27835.4
11.2817,28050.7,11.2719,72493.1,11.2768,32010.2,11.2825,28021.5
11.2752,25521.5,11.2654,71500.7,11.2703,32449.8,11.276,27255
11.2687,26152.8,11.2589,72786.9,11.2638,35136.9,11.2695,28301.8
11.2622,25473.6,11.2524,71712.4,11.2573,33115.5,11.263,27842.9
11.2557,25504.5,11.2459,70937.3,11.2508,32573.5,11.2565,27647.9
11.2492,26317.3,11.2394,69665.3,11.2443,32371.9,11.25,24535.7
11.2427,24755.7,11.2329,69790.2,11.2378,32858.3,11.2435,27117.2
11.2362,24414.7,11.2264,71539.5,11.2313,33110.2,11.237,26684.9
11.2297,26020.1,11.2199,69564.5,11.2248,32691.1,11.2305,27543.9
11.2231,22212.5,11.2134,69089.8,11.2183,31570.7,11.224,27430
11.2166,24889.6,11.2069,68799.9,11.2118,31984.1,11.2175,26136.3
11.2101,22477.7,11.2004,70726.5,11.2053,30736.6,11.2109,26333
11.2036,23851.3,11.1939,68041.6,11.1987,31624.6,11.2044,26203.7
11.1971,23668.9,11.1874,68538.8,11.1922,33346.7,11.1979,25662.2
11.1906,22238.3,11.1809,68679.6,11.1857,31065.9,11.1914,24542.2
11.1841,22472.1,11.1743,66592.3,11.1792,32321.4,11.1849,25951.1
11.1776,22426.2,11.1678,68158.9,11.1727,30415.1,11.1784,24743
11.1711,21554.2,11.1613,67258,11.1662,30848.3,11.1719,23312.3
11.1646,20776.4,11.1548,68372,11.1597,31867.9,11.1654,25247.7
11.1581,20655.7,11.1483,64795.8,11.1532,32587.8,11.1589,23952.2
11.1516,21486.2,11.1418,65436.8,11.1467,31436.9,11.1524,24409.4
11.1451,20723.6,11.1353,66761.7,11.1402,31972.3,11.1459,24860
11.1386,20141.8,11.1288,66181.9,11.1337,30574.7,11.1394,25240.6
11.132,21553.7,11.1223,66869,11.1272,31522,11.1329,23713.5
11.1255,19489.2,11.1158,66258.6,11.1207,30063,11.1264,25014.2
11.119,20589.3,11.1093,66022.3,11.1142,31132.2,11.1198,22480.7
11.1125,20021.8,11.1028,66596.9,11.1076,29924.1,11.1133,24967.4
11.106,20479.7,11.0963,66442.5,11.1011,30088.9,11.1068,25253.5
11.0995,19821.9,11.0898,63196.5,11.0946,30218.1,11.1003,24884.9
11.093,19863.4,11.0832,65011.8,11.0881,31161.1,11.0938,24300.8
11.0865,18306.9,11.0767,64122.6,11.0816,30801.6,11.0873,24194.6
11.08,17904,11.0702,64962.4,11.0751,31060.2,11.0808,22175.6
11.0735,18970.6,11.0637,65291.6,11.0686,30579,11.0743,23144.1
11.067,19544.4,11.0572,65435.9,11.0621,28992.1,11.0678,25162.5
11.0605,17511.5,11.0507,63943.8,11.0556,28694.4,11.0613,22658
11.054,17658,11.0442,63719.6,11.0491,28832,11.0548,23557.4
11.0475,16688.2,11.0377,62436,11.0426,30400.9,11.0483,24753.5
11.041,17296.4,11.0312,61903.1,11.0361,30502.9,11.0418,22211.9
11.0344,17320.4,11.0247,63520,11.0296,30498.7,11.0353,20486.4
11.0279,18032.1,11.0182,65062.3,11.0231,30561.2,11.0288,24117.7
11.0214,16872.4,11.0117,63503.9,11.0166,30350.8,11.0222,23038.5
11.0149,16779.9,11.0052,62104.5,11.01,28958.6,11.0157,23945
11.0084,15590.4,10.9987,61206.3,11.0035,29903.3,11.0092,22711.5
11.0019,17159.3,10.9921,61878,10.997,29032,11.0027,21757.1
10.9954,16262.6,10.9856,62127.2,10.9905,29149.4,10.9962,22477.8
10.9889,16637,10.9791,63443.6,10.984,28876.3,10.9897,22456.7
10.9824,15996.5,10.9726,62555.3,10.9775,27990.5,10.9832,23266
10.9759,15502.5,10.9661,61722.1,10.971,31137.6,10.9767,20711.5
10.9694,16710.7,10.9596,62027,10.9645,29160.4,10.9702,22222.2
